SetpointType,SetpointIndex,LimitType,Head,Neck,Chest,Back,Pelvis,LUpperArm,LLowerArm,LHand,RUpperArm,RLowerArm,RHand,LThigh,LLeg,LFoot,RThigh,RLeg,RFoot
0,3,0,34.8781104,34.8781104,34.52410795,34.34834805,34.30133093,32.53635786,30.92950747,30.39499616,32.557747,31.05945237,30.83219792,33.73413398,32.07732092,32.19922605,33.73623717,32.10281747,32.21192516
0,3,1,34.8781104,34.8781104,34.52410795,34.34834805,34.30133093,32.53635786,31.42950747,31.79499616,32.557747,31.55945237,32.23219792,33.73413398,32.07732092,32.99922605,33.73623717,32.10281747,33.01192516
0,4,-1,34.79699569,34.79699569,34.395173,34.21972395,34.13650827,32.44510286,30.01841285,28.42921634,32.46651664,30.15825488,28.882530059999997,33.69193303,32.02837735,30.473604710000004,33.69405944,32.05463558,30.48565024
0,4,0,34.79699569,34.79699569,34.395173,34.21972395,34.13650827,32.44510286,30.91841285,30.52921634,32.46651664,31.05825488,30.98253006,33.69193303,32.02837735,32.37360471,33.69405944,32.05463558,32.38565024
0,4,1,34.79699569,34.79699569,34.395173,34.21972395,34.13650827,32.44510286,31.41841285,31.92921634,32.46651664,31.55825488,32.38253006,33.69193303,32.02837735,33.17360471,33.69405944,32.05463558,33.185650239999994
0,5,-1,35.12736834,35.12736834,35.22019304,35.09734876,34.95460622,33.49815916,31.1114552,28.28759342,33.51667367,31.19999165,28.53900195,33.72205366,30.45026093,28.13601484,33.72371608,30.47255381,28.150080690000003
0,5,0,35.12736834,35.12736834,35.22019304,35.09734876,34.95460622,33.49815916,32.0114552,30.38759342,33.51667367,32.09999165,30.63900195,33.72205366,30.45026093,30.03601484,33.72371608,30.47255381,30.05008069
0,5,1,35.12736834,35.12736834,35.22019304,35.09734876,34.95460622,33.49815916,32.5114552,31.78759342,33.51667367,32.59999165,32.03900195,33.72205366,30.45026093,30.83601484,33.72371608,30.47255381,30.850080690000002
0,6,-1,34.74319783,34.74319783,35.05090063,34.9193868,34.70479247,33.22696576,30.72428289,26.73382233,33.24818047,30.83511798,27.11550347,33.84133885,31.48437463,28.309121410000003,33.84343792,31.5093126,28.325852700000002
0,6,0,34.74319783,34.74319783,35.05090063,34.9193868,34.70479247,33.22696576,31.62428289,28.83382233,33.24818047,31.73511798,29.21550347,33.84133885,31.48437463,30.20912141,33.84343792,31.5093126,30.2258527
0,6,1,34.74319783,34.74319783,35.05090063,34.9193868,34.70479247,33.22696576,32.12428289,30.23382233,33.24818047,32.23511798,30.61550347,33.84133885,31.48437463,31.009121410000002,33.84343792,31.5093126,31.0258527
0,7,-1,34.63058333,34.63058333,34.93347282,34.80362321,34.5503534,33.15840075,30.78804273,26.768045739999998,33.17985445,30.908602730000002,27.17505215,33.83694292,31.68080377,28.6363153,33.8390752,31.70579114,28.65255513
0,7,0,34.63058333,34.63058333,34.93347282,34.80362321,34.5503534,33.15840075,31.68804273,28.86804574,33.17985445,31.80860273,29.27505215,33.83694292,31.68080377,30.5363153,33.8390752,31.70579114,30.55255513
0,7,1,34.63058333,34.63058333,34.93347282,34.80362321,34.5503534,33.15840075,32.18804273,30.268045739999998,33.17985445,32.308602730000004,30.67505215,33.83694292,31.68080377,31.3363153,33.8390752,31.70579114,31.35255513
0,8,-1,34.52454522,34.52454522,34.81262842,34.68337015,34.39189144,33.08126715,30.829682310000003,26.84850323,33.10290644,30.958875510000002,27.273349,33.80352355,31.72155281,28.883716810000003,33.80567784,31.74690931,28.899366160000003
0,8,0,34.52454522,34.52454522,34.81262842,34.68337015,34.39189144,33.08126715,31.72968231,28.94850323,33.10290644,31.85887551,29.373349,33.80352355,31.72155281,30.78371681,33.80567784,31.74690931,30.79936616
0,8,1,34.52454522,34.52454522,34.81262842,34.68337015,34.39189144,33.08126715,32.22968231,30.34850323,33.10290644,32.358875510000004,30.773349,33.80352355,31.72155281,31.583716810000002,33.80567784,31.74690931,31.599366160000002
0,9,-1,34.41581519,34.41581519,34.69620836,34.56614028,34.23709182,32.99441849,30.83070173,26.88965974,33.01625742,30.9674301,27.32969188,33.75053659,31.66464208,29.026665660000003,33.7527188,31.69067365,29.0418854
0,9,0,34.41581519,34.41581519,34.69620836,34.56614028,34.23709182,32.99441849,31.73070173,28.98965974,33.01625742,31.8674301,29.42969188,33.75053659,31.66464208,30.92666566,33.7527188,31.69067365,30.9418854
0,9,1,34.41581519,34.41581519,34.69620836,34.56614028,34.23709182,32.99441849,32.23070173,30.38965974,33.01625742,32.3674301,30.82969188,33.75053659,31.66464208,31.726665660000002,33.7527188,31.69067365,31.7418854
